"","V1","V2"
"534","Ccng1","Mcm3"
"535","Mcm4","Mcm3"
"536","Mcm4","Mcm3"
"537","Mcm6","Mcm3"
"538","Mcm6","Mcm3"
"539","Crat","Mcm3"
"540","Crat","Mcm3"
"541","Pcna","Mcm3"
"542","Pcna","Mcm3"
"543","Klhl30","Klhl31"
"544","Klhl30","Klhl31"
"545","Scd2","Scd4"
"546","Scd2","Scd4"
"547","Fasn","Scd4"
"548","Fasn","Scd4"
"549","Cyp51","Insig1"
"550","Cyp51","Insig1"
"551","Npc1","Insig1"
"552","Npc1","Insig1"
"553","Hsd17b7","Insig1"
"554","Hsd17b7","Insig1"
"555","Pcna","Insig1"
"556","Pcna","Insig1"
"557","Dgat2","Insig1"
"558","Dgat2","Insig1"
"559","Acsl1","Insig1"
"560","Acsl1","Insig1"
"561","Ldlr","Insig1"
"562","Ldlr","Insig1"
"563","Dhcr24","Insig1"
"564","Dhcr24","Insig1"
"565","Fasn","Insig1"
"566","Fasn","Insig1"
"567","Uhrf1","Mcm2"
"568","Uhrf1","Mcm2"
"569","Dnmt1","Mcm2"
"570","Dnmt1","Mcm2"
"571","Ccng1","Mcm2"
"572","Ccng1","Mcm2"
"573","Mcm4","Mcm2"
"574","Mcm4","Mcm2"
"575","Mcm6","Mcm2"
"576","Mcm6","Mcm2"
"577","Pcna","Mcm2"
"578","Pcna","Mcm2"
"579","Ywhag","Mcm2"
"580","Ywhag","Mcm2"
"581","Mcm3","Mcm2"
"582","Mcm3","Mcm2"
"583","Me1","Ak1"
"584","Me1","Ak1"
"585","Plin5","Retsat"
"586","Plin5","Retsat"
"587","Dhrs4","Retsat"
"588","Dhrs4","Retsat"
"589","Hsd17b4","Retsat"
"590","Hsd17b4","Retsat"
"591","Etfdh","Retsat"
"592","Etfdh","Retsat"
"593","Elmod3","Retsat"
"594","Elmod3","Retsat"
"595","Angptl4","Ephx2"
"596","Angptl4","Ephx2"
"597","Acot2","Ephx2"
"598","Acot2","Ephx2"
"599","Dhrs4","Ephx2"
"600","Dhrs4","Ephx2"
"601","Hsd17b4","Ephx2"
"602","Hsd17b4","Ephx2"
