"","V1","V2"
"563","Dnmt1","Rbl2"
"564","Dnmt1","Rbl2"
"565","Ccng1","Rbl2"
"566","Ccng1","Rbl2"
"567","Mcm4","Rbl2"
"568","Mcm4","Rbl2"
"569","Cdkn1a","Rbl2"
"570","Cdkn1a","Rbl2"
"571","Pcna","Rbl2"
"572","Pcna","Rbl2"
"573","Cat","Mt1"
"574","Cat","Mt1"
"575","Timp3","Mmp15"
"576","Timp3","Mmp15"
"577","Timp4","Mmp15"
"578","Timp4","Mmp15"
"579","Lipe","Slc27a1"
"580","Lipe","Slc27a1"
"581","Lpl","Slc27a1"
"582","Lpl","Slc27a1"
"583","Pdk4","Slc27a1"
"584","Pdk4","Slc27a1"
"585","Plin5","Slc27a1"
"586","Plin5","Slc27a1"
"587","Acot2","Slc27a1"
"588","Acot2","Slc27a1"
"589","Cidea","Slc27a1"
"590","Cidea","Slc27a1"
"591","Cpt1a","Slc27a1"
"592","Cpt1a","Slc27a1"
"593","Acadl","Slc27a1"
"594","Acadl","Slc27a1"
"595","Fabp4","Slc27a1"
"596","Fabp4","Slc27a1"
"597","Cpt2","Slc27a1"
"598","Cpt2","Slc27a1"
"599","Ucp3","Slc27a1"
"600","Ucp3","Slc27a1"
"601","Dgat2","Slc27a1"
"602","Dgat2","Slc27a1"
"603","Acsl1","Slc27a1"
"604","Acsl1","Slc27a1"
"605","Calr","Acta1"
"606","Calr","Acta1"
"607","Nkx2-5","Acta1"
"608","Nkx2-5","Acta1"
"609","Ckmt2","Acta1"
"610","Ckmt2","Acta1"
"611","Srl","Acta1"
"612","Srl","Acta1"
"613","Clic5","Acta1"
"614","Clic5","Acta1"
"615","Ankrd1","Acta1"
"616","Ankrd1","Acta1"
"617","Csrp1","Acta1"
"618","Csrp1","Acta1"
"619","Lamc1","Acta1"
"620","Lamc1","Acta1"
"621","Pdlim3","Acta1"
"622","Pdlim3","Acta1"
"623","Cyp51","Ldlr"
"624","Cyp51","Ldlr"
"625","Lpl","Ldlr"
"626","Lpl","Ldlr"
"627","Srebf2","Ldlr"
"628","Srebf2","Ldlr"
"629","Npc1","Ldlr"
"630","Npc1","Ldlr"
"631","Cpt1a","Ldlr"
"632","Cpt1a","Ldlr"
"633","Dgat2","Ldlr"
"634","Dgat2","Ldlr"
"635","Dkk3","Ldlr"
"636","Dkk3","Ldlr"
"637","Nkx2-5","Aldh1a2"
"638","Nkx2-5","Aldh1a2"
"639","Dhrs4","Aldh1a2"
"640","Dhrs4","Aldh1a2"
"641","Ankrd1","Aldh1a2"
"642","Ankrd1","Aldh1a2"
"643","Cat","Aldh1a2"
"644","Cat","Aldh1a2"
"645","Etfb","Etfa"
"646","Etfb","Etfa"
"647","Acadsb","Etfa"
"648","Acadsb","Etfa"
"649","Eci1","Etfa"
"650","Eci1","Etfa"
"651","Npc1","Etfa"
"652","Npc1","Etfa"
"653","Hsd17b4","Etfa"
"654","Hsd17b4","Etfa"
"655","Echs1","Etfa"
"656","Echs1","Etfa"
"657","Hspd1","Etfa"
"658","Hspd1","Etfa"
"659","Acadl","Etfa"
"660","Acadl","Etfa"
"661","Etfdh","Etfa"
"662","Etfdh","Etfa"
"663","Hadh","Etfa"
"664","Hadh","Etfa"
"665","Decr1","Etfa"
"666","Decr1","Etfa"
"667","Hsdl2","Etfa"
"668","Hsdl2","Etfa"
"669","Cpt2","Etfa"
"670","Cpt2","Etfa"
"671","Coq3","Clk1"
"672","Coq3","Clk1"
"673","Ccnl2","Clk1"
"674","Ccnl2","Clk1"
"675","Mfge8","Tspan3"
"676","Mfge8","Tspan3"
"677","Ldlr","Tspan3"
"678","Ldlr","Tspan3"
"679","Lpl","Me1"
"680","Lpl","Me1"
"681","Eci1","Me1"
"682","Eci1","Me1"
"683","Hsd17b4","Me1"
"684","Hsd17b4","Me1"
"685","Cpt1a","Me1"
"686","Cpt1a","Me1"
"687","Echs1","Me1"
"688","Echs1","Me1"
"689","Acadl","Me1"
"690","Acadl","Me1"
"691","Fabp4","Me1"
"692","Fabp4","Me1"
"693","Asb11","Lrrc2"
"694","Asb11","Lrrc2"
"695","Lipe","Slc25a20"
"696","Lipe","Slc25a20"
"697","Etfb","Slc25a20"
"698","Etfb","Slc25a20"
"699","Pdk4","Slc25a20"
"700","Pdk4","Slc25a20"
"701","Cpt1a","Slc25a20"
"702","Cpt1a","Slc25a20"
"703","Acadl","Slc25a20"
"704","Acadl","Slc25a20"
"705","Aldh9a1","Slc25a20"
"706","Aldh9a1","Slc25a20"
"707","Crat","Slc25a20"
"708","Crat","Slc25a20"
"709","Etfdh","Slc25a20"
"710","Etfdh","Slc25a20"
"711","Hadh","Slc25a20"
"712","Hadh","Slc25a20"
"713","Decr1","Slc25a20"
"714","Decr1","Slc25a20"
"715","Hsdl2","Slc25a20"
"716","Hsdl2","Slc25a20"
"717","Cpt2","Slc25a20"
"718","Cpt2","Slc25a20"
"719","Acsl1","Slc25a20"
"720","Acsl1","Slc25a20"
"721","Slc27a1","Slc25a20"
"722","Slc27a1","Slc25a20"
"723","Etfa","Slc25a20"
"724","Etfa","Slc25a20"
"725","Fkbp10","Sec24d"
"726","Fkbp10","Sec24d"
"727","Gsto1","Sec24d"
"728","Gsto1","Sec24d"
"729","Nkx2-5","Bmpr1a"
"730","Nkx2-5","Bmpr1a"
"731","Maged1","Bmpr1a"
"732","Maged1","Bmpr1a"
"733","Pdlim5","Strip2"
"734","Pdlim5","Strip2"
"735","Pdlim5","Ctnnal1"
"736","Pdlim5","Ctnnal1"
"737","Pdlim3","Ctnnal1"
"738","Pdlim3","Ctnnal1"
"739","Lipe","Acaa2"
"740","Lipe","Acaa2"
"741","Etfb","Acaa2"
"742","Etfb","Acaa2"
"743","Acadsb","Acaa2"
"744","Acadsb","Acaa2"
"745","Dhrs4","Acaa2"
"746","Dhrs4","Acaa2"
"747","Eci1","Acaa2"
"748","Eci1","Acaa2"
"749","Hsd17b4","Acaa2"
"750","Hsd17b4","Acaa2"
"751","Cpt1a","Acaa2"
"752","Cpt1a","Acaa2"
"753","Echs1","Acaa2"
"754","Echs1","Acaa2"
"755","Acadl","Acaa2"
"756","Acadl","Acaa2"
"757","Aldh9a1","Acaa2"
"758","Aldh9a1","Acaa2"
"759","Crat","Acaa2"
"760","Crat","Acaa2"
"761","Etfdh","Acaa2"
"762","Etfdh","Acaa2"
"763","Hadh","Acaa2"
"764","Hadh","Acaa2"
"765","Decr1","Acaa2"
"766","Decr1","Acaa2"
"767","Hsdl2","Acaa2"
"768","Hsdl2","Acaa2"
"769","Cpt2","Acaa2"
"770","Cpt2","Acaa2"
"771","Bcat2","Acaa2"
"772","Bcat2","Acaa2"
"773","Acsl1","Acaa2"
"774","Acsl1","Acaa2"
"775","Etfa","Acaa2"
"776","Etfa","Acaa2"
"777","Slc25a20","Acaa2"
"778","Slc25a20","Acaa2"
"779","Tmbim1","Ttyh3"
"780","Tmbim1","Ttyh3"
"781","Clic5","Ttyh3"
"782","Clic5","Ttyh3"
"783","Gabarapl1","Trp53inp2"
"784","Gabarapl1","Trp53inp2"
"785","Cyp51","Dhcr24"
"786","Cyp51","Dhcr24"
"787","Srebf2","Dhcr24"
"788","Srebf2","Dhcr24"
"789","Scd2","Dhcr24"
"790","Scd2","Dhcr24"
"791","Hsd17b7","Dhcr24"
"792","Hsd17b7","Dhcr24"
"793","Fkbp4","Dhcr24"
"794","Fkbp4","Dhcr24"
"795","Ldlr","Dhcr24"
"796","Ldlr","Dhcr24"
"797","Ckmt2","Hspb6"
"798","Ckmt2","Hspb6"
"799","Hspd1","Hspb6"
"800","Hspd1","Hspb6"
"801","Acta1","Hspb6"
"802","Acta1","Hspb6"
"803","Srl","Pde4dip"
"804","Srl","Pde4dip"
"805","Lrrc2","Pde4dip"
"806","Lrrc2","Pde4dip"
"807","Acta1","Fhod3"
"808","Acta1","Fhod3"
"809","Bcat2","Ppm1k"
"810","Bcat2","Ppm1k"
"811","Bmpr1a","Ppm1k"
"812","Bmpr1a","Ppm1k"
"813","Prkaca","Fras1"
"814","Prkaca","Fras1"
"815","Serinc3","Fras1"
"816","Serinc3","Fras1"
"817","Lrrc39","Fras1"
"818","Lrrc39","Fras1"
"819","Ldlr","Fras1"
"820","Ldlr","Fras1"
"821","Lrrc2","Fras1"
"822","Lrrc2","Fras1"
"823","Prkaca","Pim3"
"824","Prkaca","Pim3"
"825","Prkag2","Pim3"
"826","Prkag2","Pim3"
"827","Clk1","Ogt"
"828","Clk1","Ogt"
"829","Mfge8","Fgl2"
"830","Mfge8","Fgl2"
"831","Appl2","Leng8"
"832","Appl2","Leng8"
"833","Uhrf1","Smc4"
"834","Uhrf1","Smc4"
"835","Dnmt1","Smc4"
"836","Dnmt1","Smc4"
"837","Mcm4","Smc4"
"838","Mcm4","Smc4"
"839","Mcm6","Smc4"
"840","Mcm6","Smc4"
"841","Pcna","Smc4"
"842","Pcna","Smc4"
"843","Rbl2","Smc4"
"844","Rbl2","Smc4"
"845","Ccnd2","Foxo3"
"846","Ccnd2","Foxo3"
"847","Prkaca","Foxo3"
"848","Prkaca","Foxo3"
"849","Ddit4","Foxo3"
"850","Ddit4","Foxo3"
"851","Srebf2","Foxo3"
"852","Srebf2","Foxo3"
"853","Cdkn1a","Foxo3"
"854","Cdkn1a","Foxo3"
"855","Cat","Foxo3"
"856","Cat","Foxo3"
"857","Prkag2","Foxo3"
"858","Prkag2","Foxo3"
"859","Gabarapl1","Foxo3"
