"","V1","V2"
"373","Pdlim5","Sorbs2"
"374","Pdlim5","Sorbs2"
"375","Rasl11b","Sorbs2"
"376","Rasl11b","Sorbs2"
"377","Insr","Sorbs2"
"378","Insr","Sorbs2"
"379","Klf15","Kcnip2"
"380","Klf15","Kcnip2"
"381","Myh7","Kcnip2"
"382","Myh7","Kcnip2"
"383","Gpsm1","Gng2"
"384","Gpsm1","Gng2"
"385","Cxcl12","Gng2"
"386","Cxcl12","Gng2"
"387","Adcy6","Gng2"
"388","Adcy6","Gng2"
"389","Ctnnal1","Ppfia1"
"390","Ctnnal1","Ppfia1"
"391","Lpl","Pnpla2"
"392","Lpl","Pnpla2"
"393","Plin3","Pnpla2"
"394","Plin3","Pnpla2"
"395","Fabp4","Pnpla2"
"396","Fabp4","Pnpla2"
"397","Foxo3","Pnpla2"
"398","Foxo3","Pnpla2"
"399","Ppargc1a","Pnpla2"
"400","Ppargc1a","Pnpla2"
"401","Pdlim5","Tns1"
"402","Pdlim5","Tns1"
"403","Ctnnal1","Tns1"
"404","Ctnnal1","Tns1"
"405","Insr","Tns1"
"406","Insr","Tns1"
"407","Cdkn1a","Tfdp2"
"408","Cdkn1a","Tfdp2"
"409","Rbl2","Tfdp2"
"410","Rbl2","Tfdp2"
"411","Ccnb1","Tfdp2"
"412","Ccnb1","Tfdp2"
"413","Vegfa","Egfl7"
"414","Vegfa","Egfl7"
"415","Ckmt2","Csrp3"
"416","Ckmt2","Csrp3"
"417","Srl","Csrp3"
"418","Srl","Csrp3"
"419","Ankrd1","Csrp3"
"420","Ankrd1","Csrp3"
"421","Myom2","Csrp3"
"422","Myom2","Csrp3"
"423","Ctnnal1","Csrp3"
"424","Ctnnal1","Csrp3"
"425","Ankrd23","Csrp3"
"426","Ankrd23","Csrp3"
"427","Myom1","Csrp3"
"428","Myom1","Csrp3"
"429","Lrrc10","Csrp3"
"430","Lrrc10","Csrp3"
"431","Nppa","Csrp3"
"432","Nppa","Csrp3"
"433","Nppb","Csrp3"
"434","Nppb","Csrp3"
"435","Myh7","Csrp3"
"436","Myh7","Csrp3"
"437","Xirp2","Csrp3"
"438","Xirp2","Csrp3"
"439","Acadsb","Bckdhb"
"440","Acadsb","Bckdhb"
"441","Echs1","Bckdhb"
"442","Echs1","Bckdhb"
"443","Bcat2","Bckdhb"
"444","Bcat2","Bckdhb"
"445","Ppm1k","Bckdhb"
"446","Ppm1k","Bckdhb"
"447","Aldh6a1","Bckdhb"
"448","Aldh6a1","Bckdhb"
